issue_number,title,created_at,closed_at,labels,state,html_url
6724,"[Bug] Notion import from .zip doesn't link pages in ""table""",2024-11-05T07:12:57Z,2026-04-01T09:30:39Z,bug|importer|database,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/6724
8687,[Bug] filtering DBs using roolup property does not provide drop down of options,2026-05-02T15:12:01Z,2026-05-08T08:42:17Z,bug|database|2026|q2 26,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8687
6536,[Bug] Duplicating a Space doesn't copy nested databases ,2024-10-13T06:38:30Z,2026-05-08T03:45:12Z,bug|2025,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/6536
6426,[Bug] Kanban Board information lost on Duplicating it ,2024-09-29T09:51:36Z,2026-05-08T03:22:01Z,bug|kanban board|2025,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/6426
7325,[Bug] Reordering rows in grid on mobile resulted in missing rows on web,2025-01-26T10:57:46Z,2026-05-08T03:10:47Z,bug|grid|mobile|desktop,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/7325
7287,[Bug] multiple cursors appear in a document with grid when you try to paste text in grid copied from document.,2025-01-25T08:16:59Z,2026-05-08T03:10:36Z,bug|grid|editor|data sync,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/7287
7928,[Bug] Some items in a grid are not visible in the Desktop app,2025-05-13T10:46:35Z,2026-05-08T03:06:35Z,bug|grid|platform-linux,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/7928
8441,[Mobile] Filtered Grid View Does Not Show Newly Added Rows Until Filter Is Toggled,2026-01-19T21:05:35Z,2026-05-07T02:51:44Z,bug|grid|database,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8441
8383,[Bug] Row and column order changes after duplicating a page with Grid,2025-12-08T09:38:32Z,2026-05-06T03:40:40Z,bug|database|2026,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8383
8651,[Bug] Undo stack grid disappearance when creating nested grids (Grid B inside Grid A),2026-04-06T14:11:22Z,2026-04-22T02:43:21Z,bug|editor|database|2026|q2 26,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8651
8610,"[FR] Remove (""Auto-populate title in body"") and mouse backbutton functionality",2026-03-29T11:04:15Z,2026-04-15T03:42:20Z,bug|editor|2026|q2 26,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8610
8659,[Bug] Unable to open Appflowy installed from Snapstore,2026-04-11T15:39:10Z,2026-04-14T07:11:44Z,bug|install|platform-linux,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8659
8615,[Bug] Copy plain text numbers and then paste as USD vs Euro,2026-04-01T01:51:36Z,2026-04-10T07:47:16Z,bug|database|copy-paste|2026|q2 26,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8615
8570,[Bug] DB view duplication does not seem to be functional,2026-03-13T13:26:32Z,2026-04-07T01:44:40Z,bug|database,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8570
8065,[Bug] Duplicating Databases Not Creating New Databases,2025-06-15T04:03:52Z,2026-04-02T03:25:17Z,bug|platform-windows|platform-linux|database|2026,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/8065
