tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
v13.0.1+security-01,13.0.1+security-01,2026-05-12T13:08:35Z,main,https://github.com/grafana/grafana/releases/tag/v13.0.1%2Bsecurity-01,False,False
v12.4.3+security-02,12.4.3+security-02,2026-05-12T13:09:01Z,main,https://github.com/grafana/grafana/releases/tag/v12.4.3%2Bsecurity-02,False,False
v12.3.6+security-04,12.3.6+security-04,2026-05-12T13:09:32Z,main,https://github.com/grafana/grafana/releases/tag/v12.3.6%2Bsecurity-04,False,False
v12.2.8+security-04,12.2.8+security-04,2026-05-12T13:08:58Z,main,https://github.com/grafana/grafana/releases/tag/v12.2.8%2Bsecurity-04,False,False
v11.6.14+security-04,11.6.14+security-04,2026-05-12T13:08:51Z,main,https://github.com/grafana/grafana/releases/tag/v11.6.14%2Bsecurity-04,False,False
v13.0.1,13.0.1,2026-04-17T08:18:54Z,main,https://github.com/grafana/grafana/releases/tag/v13.0.1,False,False
v12.4.3,12.4.3,2026-04-14T11:56:08Z,main,https://github.com/grafana/grafana/releases/tag/v12.4.3,False,False
v12.4.2,12.4.2,2026-03-25T22:09:36Z,main,https://github.com/grafana/grafana/releases/tag/v12.4.2,False,False
v12.3.6+security-01,12.3.6+security-01,2026-03-25T23:03:20Z,main,https://github.com/grafana/grafana/releases/tag/v12.3.6%2Bsecurity-01,False,False
v12.3.6,12.3.6,2026-03-26T09:50:07Z,main,https://github.com/grafana/grafana/releases/tag/v12.3.6,False,False
v12.2.8+security-01,12.2.8+security-01,2026-03-25T22:08:55Z,main,https://github.com/grafana/grafana/releases/tag/v12.2.8%2Bsecurity-01,False,False
v12.2.8,12.2.8,2026-03-26T09:49:58Z,main,https://github.com/grafana/grafana/releases/tag/v12.2.8,False,False
v12.1.10+security-01,12.1.10+security-01,2026-03-25T22:06:04Z,main,https://github.com/grafana/grafana/releases/tag/v12.1.10%2Bsecurity-01,False,False
v12.1.10,12.1.10,2026-03-26T09:49:46Z,main,https://github.com/grafana/grafana/releases/tag/v12.1.10,False,False
