tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
16.1.1,16.1.1,2022-01-25 10:11:13+00:00,main,https://github.com/keycloak/keycloak/releases/tag/16.1.1,False,False
17.0.0,17.0.0,2022-02-11 19:55:34+00:00,main,https://github.com/keycloak/keycloak/releases/tag/17.0.0,False,False
17.0.1,17.0.1,2022-03-23 08:13:16+00:00,main,https://github.com/keycloak/keycloak/releases/tag/17.0.1,False,False
18.0.0,18.0.0,2022-04-20 19:28:18+00:00,main,https://github.com/keycloak/keycloak/releases/tag/18.0.0,False,False
18.0.1,18.0.1,2022-06-16 12:38:35+00:00,main,https://github.com/keycloak/keycloak/releases/tag/18.0.1,False,False
18.0.2,18.0.2,2022-06-24 12:04:55+00:00,main,https://github.com/keycloak/keycloak/releases/tag/18.0.2,False,False
19.0.0,19.0.0,2022-07-27 11:18:49+00:00,main,https://github.com/keycloak/keycloak/releases/tag/19.0.0,False,False
19.0.1,19.0.1,2022-07-29 11:17:02+00:00,main,https://github.com/keycloak/keycloak/releases/tag/19.0.1,False,False
19.0.2,19.0.2,2022-09-14 07:08:22+00:00,main,https://github.com/keycloak/keycloak/releases/tag/19.0.2,False,False
19.0.3,19.0.3,2022-10-06 12:12:17+00:00,main,https://github.com/keycloak/keycloak/releases/tag/19.0.3,False,False
20.0.0,20.0.0,2022-11-01 13:17:41+00:00,main,https://github.com/keycloak/keycloak/releases/tag/20.0.0,False,False
20.0.1,20.0.1,2022-11-07 20:08:54+00:00,main,https://github.com/keycloak/keycloak/releases/tag/20.0.1,False,False
20.0.2,20.0.2,2022-12-13 14:24:01+00:00,main,https://github.com/keycloak/keycloak/releases/tag/20.0.2,False,False
20.0.3,20.0.3,2023-01-12 16:19:25+00:00,main,https://github.com/keycloak/keycloak/releases/tag/20.0.3,False,False
20.0.5,20.0.5,2023-02-21 06:16:47+00:00,main,https://github.com/keycloak/keycloak/releases/tag/20.0.5,False,False
21.0.0,21.0.0,2023-02-23 09:15:01+00:00,main,https://github.com/keycloak/keycloak/releases/tag/21.0.0,False,False
21.0.1,21.0.1,2023-03-01 19:08:23+00:00,main,https://github.com/keycloak/keycloak/releases/tag/21.0.1,False,False
21.0.2,21.0.2,2023-03-30 11:12:04+00:00,main,https://github.com/keycloak/keycloak/releases/tag/21.0.2,False,False
21.1.0,21.1.0,2023-04-19 08:10:05+00:00,main,https://github.com/keycloak/keycloak/releases/tag/21.1.0,False,False
21.1.1,21.1.1,2023-04-26 10:24:38+00:00,main,https://github.com/keycloak/keycloak/releases/tag/21.1.1,False,False
21.1.2,21.1.2,2023-06-28 06:39:51+00:00,main,https://github.com/keycloak/keycloak/releases/tag/21.1.2,False,False
22.0.0,22.0.0,2023-07-11 14:55:57+00:00,main,https://github.com/keycloak/keycloak/releases/tag/22.0.0,False,False
22.0.1,22.0.1,2023-07-18 09:57:40+00:00,main,https://github.com/keycloak/keycloak/releases/tag/22.0.1,False,False
22.0.2,22.0.2,2023-09-11 11:06:31+00:00,main,https://github.com/keycloak/keycloak/releases/tag/22.0.2,False,False
22.0.3,22.0.3,2023-09-12 17:46:24+00:00,main,https://github.com/keycloak/keycloak/releases/tag/22.0.3,False,False
22.0.4,22.0.4,2023-10-04 09:03:46+00:00,main,https://github.com/keycloak/keycloak/releases/tag/22.0.4,False,False
22.0.5,22.0.5,2023-10-24 10:22:23+00:00,main,https://github.com/keycloak/keycloak/releases/tag/22.0.5,False,False
23.0.0,23.0.0,2023-11-23 15:05:15+00:00,main,https://github.com/keycloak/keycloak/releases/tag/23.0.0,False,False
23.0.1,23.0.1,2023-11-29 06:07:19+00:00,main,https://github.com/keycloak/keycloak/releases/tag/23.0.1,False,False
23.0.2,23.0.2,2023-12-14 19:53:43+00:00,main,https://github.com/keycloak/keycloak/releases/tag/23.0.2,False,False
23.0.3,23.0.3,2023-12-15 14:11:09+00:00,main,https://github.com/keycloak/keycloak/releases/tag/23.0.3,False,False
23.0.4,23.0.4,2024-01-08 13:48:54+00:00,main,https://github.com/keycloak/keycloak/releases/tag/23.0.4,False,False
23.0.5,23.0.5,2024-01-29 08:15:36+00:00,main,https://github.com/keycloak/keycloak/releases/tag/23.0.5,False,False
23.0.6,23.0.6,2024-02-02 14:15:35+00:00,main,https://github.com/keycloak/keycloak/releases/tag/23.0.6,False,False
23.0.7,23.0.7,2024-02-22 09:05:48+00:00,main,https://github.com/keycloak/keycloak/releases/tag/23.0.7,False,False
24.0.0,24.0.0,2024-03-04 09:49:41+00:00,main,https://github.com/keycloak/keycloak/releases/tag/24.0.0,False,False
24.0.1,24.0.1,2024-03-05 08:29:04+00:00,main,https://github.com/keycloak/keycloak/releases/tag/24.0.1,False,False
24.0.2,24.0.2,2024-03-24 22:33:12+00:00,main,https://github.com/keycloak/keycloak/releases/tag/24.0.2,False,False
24.0.3,24.0.3,2024-04-16 17:20:28+00:00,main,https://github.com/keycloak/keycloak/releases/tag/24.0.3,False,False
24.0.4,24.0.4,2024-05-08 06:35:37+00:00,main,https://github.com/keycloak/keycloak/releases/tag/24.0.4,False,False
24.0.5,24.0.5,2024-06-04 05:54:50+00:00,main,https://github.com/keycloak/keycloak/releases/tag/24.0.5,False,False
25.0.0,25.0.0,2024-06-10 07:24:59+00:00,main,https://github.com/keycloak/keycloak/releases/tag/25.0.0,False,False
25.0.1,25.0.1,2024-06-20 12:52:31+00:00,main,https://github.com/keycloak/keycloak/releases/tag/25.0.1,False,False
25.0.2,25.0.2,2024-07-18 07:06:50+00:00,main,https://github.com/keycloak/keycloak/releases/tag/25.0.2,False,False
25.0.4,25.0.4,2024-08-19 09:18:26+00:00,main,https://github.com/keycloak/keycloak/releases/tag/25.0.4,False,False
25.0.5,25.0.5,2024-09-10 05:18:20+00:00,main,https://github.com/keycloak/keycloak/releases/tag/25.0.5,False,False
25.0.6,25.0.6,2024-09-19 17:56:50+00:00,main,https://github.com/keycloak/keycloak/releases/tag/25.0.6,False,False
26.0.0,26.0.0,2024-10-04 07:05:54+00:00,main,https://github.com/keycloak/keycloak/releases/tag/26.0.0,False,False
26.0.1,26.0.1,2024-10-17 13:42:55+00:00,main,https://github.com/keycloak/keycloak/releases/tag/26.0.1,False,False
26.0.2,26.0.2,2024-10-24 07:56:17+00:00,main,https://github.com/keycloak/keycloak/releases/tag/26.0.2,False,False
26.0.4,26.0.4,2024-10-30 09:34:13+00:00,main,https://github.com/keycloak/keycloak/releases/tag/26.0.4,False,False
26.0.5,26.0.5,2024-11-01 09:27:28+00:00,main,https://github.com/keycloak/keycloak/releases/tag/26.0.5,False,False
26.0.6,26.0.6,2024-11-22 05:40:24+00:00,main,https://github.com/keycloak/keycloak/releases/tag/26.0.6,False,False
26.0.7,26.0.7,2024-12-03 07:16:20+00:00,main,https://github.com/keycloak/keycloak/releases/tag/26.0.7,False,False
