tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
nightly,nightly,2022-09-27T02:22:00Z,main,https://github.com/keycloak/keycloak/releases/tag/nightly,False,True
26.6.2,26.6.2,2026-05-19T12:41:03Z,main,https://github.com/keycloak/keycloak/releases/tag/26.6.2,False,False
26.6.1,26.6.1,2026-04-15T13:58:02Z,main,https://github.com/keycloak/keycloak/releases/tag/26.6.1,False,False
26.6.0,26.6.0,2026-04-08T08:54:19Z,main,https://github.com/keycloak/keycloak/releases/tag/26.6.0,False,False
26.5.7,26.5.7,2026-04-02T14:47:13Z,main,https://github.com/keycloak/keycloak/releases/tag/26.5.7,False,False
26.5.6,26.5.6,2026-03-19T06:45:39Z,main,https://github.com/keycloak/keycloak/releases/tag/26.5.6,False,False
26.5.5,26.5.5,2026-03-05T15:40:30Z,main,https://github.com/keycloak/keycloak/releases/tag/26.5.5,False,False
26.5.4,26.5.4,2026-02-20T09:19:45Z,main,https://github.com/keycloak/keycloak/releases/tag/26.5.4,False,False
26.5.3,26.5.3,2026-02-10T07:30:08Z,main,https://github.com/keycloak/keycloak/releases/tag/26.5.3,False,False
26.5.2,26.5.2,2026-01-23T14:26:58Z,main,https://github.com/keycloak/keycloak/releases/tag/26.5.2,False,False
26.5.1,26.5.1,2026-01-14T18:09:13Z,main,https://github.com/keycloak/keycloak/releases/tag/26.5.1,False,False
26.5.0,26.5.0,2026-01-06T07:42:32Z,main,https://github.com/keycloak/keycloak/releases/tag/26.5.0,False,False
26.4.7,26.4.7,2025-12-01T08:14:11Z,main,https://github.com/keycloak/keycloak/releases/tag/26.4.7,False,False
26.4.6,26.4.6,2025-11-25T17:32:43Z,main,https://github.com/keycloak/keycloak/releases/tag/26.4.6,False,False
26.4.5,26.4.5,2025-11-12T15:24:23Z,main,https://github.com/keycloak/keycloak/releases/tag/26.4.5,False,False
26.4.4,26.4.4,2025-11-07T08:55:27Z,main,https://github.com/keycloak/keycloak/releases/tag/26.4.4,False,False
26.4.2,26.4.2,2025-10-23T06:59:32Z,main,https://github.com/keycloak/keycloak/releases/tag/26.4.2,False,False
26.4.1,26.4.1,2025-10-16T07:21:53Z,main,https://github.com/keycloak/keycloak/releases/tag/26.4.1,False,False
26.4.0,26.4.0,2025-09-30T11:49:13Z,main,https://github.com/keycloak/keycloak/releases/tag/26.4.0,False,False
26.3.5,26.3.5,2025-09-25T06:23:28Z,main,https://github.com/keycloak/keycloak/releases/tag/26.3.5,False,False
26.3.4,26.3.4,2025-09-12T13:28:51Z,main,https://github.com/keycloak/keycloak/releases/tag/26.3.4,False,False
26.3.3,26.3.3,2025-08-20T10:12:51Z,main,https://github.com/keycloak/keycloak/releases/tag/26.3.3,False,False
26.3.2,26.3.2,2025-07-24T10:14:27Z,main,https://github.com/keycloak/keycloak/releases/tag/26.3.2,False,False
